panel,panel_title,metric,metric_label,method,method_label,source_variant,value,source_file,tier,task,seed,run_id,unit,config
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.48471208,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R008,toy_sampling__T3_ring__pnedb__R008,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.52844096,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R009,toy_sampling__T3_ring__pnedb__R009,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
A,Toy sampling,ESS_N,ESS/$N$,noisde,NoiSDE,pnedb,0.49496729,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T3_ring,R010,toy_sampling__T3_ring__pnedb__R010,fraction,configs/experiments/toy_sampling/T3_ring/pnedb.yaml
A,Toy sampling,C_mode,$C_{\mathrm{mode}}$,deterministic,Deterministic,deterministic,0.50858553,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R001,toy_sampling__T1_double_well__deterministic__R001,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,C_mode,$C_{\mathrm{mode}}$,deterministic,Deterministic,deterministic,0.44708054,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R002,toy_sampling__T1_double_well__deterministic__R002,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,C_mode,$C_{\mathrm{mode}}$,deterministic,Deterministic,deterministic,0.50633803,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R003,toy_sampling__T1_double_well__deterministic__R003,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,C_mode,$C_{\mathrm{mode}}$,deterministic,Deterministic,deterministic,0.47249483,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R004,toy_sampling__T1_double_well__deterministic__R004,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,C_mode,$C_{\mathrm{mode}}$,deterministic,Deterministic,deterministic,0.49670436,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R005,toy_sampling__T1_double_well__deterministic__R005,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,C_mode,$C_{\mathrm{mode}}$,deterministic,Deterministic,deterministic,0.50392104,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R006,toy_sampling__T1_double_well__deterministic__R006,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
A,Toy sampling,C_mode,$C_{\mathrm{mode}}$,deterministic,Deterministic,deterministic,0.48216136,data/processed/seed_level/toy_sampling_results.csv,toy_sampling,T1_double_well,R007,toy_sampling__T1_double_well__deterministic__R007,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml
