panel,observable,group,group_label,bin_left,bin_right,bin_center,count,density,total_count,in_range_count
A,chi2_contribution,utility,utility-selected,3.375,3.4285714285714284,3.4017857142857144,3,0.0028000000000000004,20000,19999
A,chi2_contribution,utility,utility-selected,3.4285714285714284,3.4821428571428568,3.4553571428571423,4,0.0037333333333333337,20000,19999
A,chi2_contribution,utility,utility-selected,3.4821428571428568,3.5357142857142856,3.508928571428571,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,3.5357142857142856,3.589285714285714,3.5625,4,0.0037333333333333337,20000,19999
A,chi2_contribution,utility,utility-selected,3.589285714285714,3.642857142857143,3.6160714285714284,3,0.0028000000000000004,20000,19999
A,chi2_contribution,utility,utility-selected,3.642857142857143,3.696428571428571,3.6696428571428568,1,0.0009333333333333334,20000,19999
A,chi2_contribution,utility,utility-selected,3.696428571428571,3.75,3.7232142857142856,1,0.0009333333333333334,20000,19999
A,chi2_contribution,utility,utility-selected,3.75,3.8035714285714284,3.7767857142857144,1,0.0009333333333333334,20000,19999
A,chi2_contribution,utility,utility-selected,3.8035714285714284,3.8571428571428568,3.8303571428571423,1,0.0009333333333333334,20000,19999
A,chi2_contribution,utility,utility-selected,3.8571428571428568,3.9107142857142856,3.883928571428571,2,0.0018666666666666669,20000,19999
A,chi2_contribution,utility,utility-selected,3.9107142857142856,3.964285714285714,3.9375,1,0.0009333333333333334,20000,19999
A,chi2_contribution,utility,utility-selected,3.964285714285714,4.017857142857142,3.991071428571428,2,0.0018666666666666669,20000,19999
A,chi2_contribution,utility,utility-selected,4.017857142857142,4.071428571428571,4.044642857142857,2,0.0018666666666666669,20000,19999
A,chi2_contribution,utility,utility-selected,4.071428571428571,4.125,4.098214285714286,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,4.125,4.178571428571428,4.1517857142857135,1,0.0009333333333333334,20000,19999
A,chi2_contribution,utility,utility-selected,4.178571428571428,4.232142857142857,4.205357142857142,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,4.232142857142857,4.285714285714286,4.258928571428571,1,0.0009333333333333334,20000,19999
A,chi2_contribution,utility,utility-selected,4.285714285714286,4.339285714285714,4.3125,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,4.339285714285714,4.392857142857142,4.366071428571429,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,4.392857142857142,4.446428571428571,4.419642857142857,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,4.446428571428571,4.5,4.473214285714286,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,4.5,4.553571428571428,4.5267857142857135,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,4.553571428571428,4.607142857142857,4.580357142857142,2,0.0018666666666666669,20000,19999
A,chi2_contribution,utility,utility-selected,4.607142857142857,4.660714285714286,4.633928571428571,0,0.0,20000,19999
A,chi2_contribution,utility,utility-selected,4.660714285714286,4.714285714285714,4.6875,0,0.0,20000,19999
