task,task_label,variant,method_label,metric,count,mean,std,ci95_low,ci95_high,min,max
T2_four_well,Four,F0,F0 det.,Ubar,20,0.2773342345,0.03270646406650338,0.26202713813382134,0.29264133086617866,0.22151335,0.329041
T2_four_well,Four,A2,A2 fixed,A_swap,20,0.175805091,0.016907482236068364,0.1678921457372313,0.1837180362627687,0.14886445,0.2123998
T2_four_well,Four,A2,A2 fixed,R_high_E,20,0.1035083755,0.06109813519386723,0.07491356802387884,0.13210318297612114,0.0330525,0.18670831
T2_four_well,Four,A2,A2 fixed,Ubar,20,0.5097955525,0.012789406991026398,0.5038099257786322,0.5157811792213678,0.48941882,0.536286
T2_four_well,Four,A3,A3 iso.,A_swap,20,0.224081323,0.022866940370763263,0.21337926547573777,0.23478338052426223,0.17813525,0.2570636
T2_four_well,Four,A3,A3 iso.,R_high_E,20,0.103670797,0.03178515860408755,0.08879488486294529,0.1185467091370547,0.0650148,0.1620869
T2_four_well,Four,A3,A3 iso.,Ubar,20,0.6143637595,0.02708445811834654,0.6016878429105371,0.6270396760894629,0.5751991,0.68827239
T2_four_well,Four,A4,A4 NoiSDE,A_swap,20,0.29998298700000003,0.033981297721129504,0.2840792501176674,0.3158867238823327,0.2470982,0.3610185
T2_four_well,Four,A4,A4 NoiSDE,R_high_E,20,0.06084251549999999,0.02833847461780176,0.04757970112290383,0.07410532987709616,0.0199212,0.10414679
T2_four_well,Four,A4,A4 NoiSDE,Ubar,20,0.7529273025000001,0.02203032881025368,0.7426167912386338,0.7632378137613663,0.7072909,0.79356227
T2_four_well,Four,A5,A5 over-noise,A_swap,20,0.0289967925,0.01380371111924725,0.022536456834133595,0.03545712816586641,0.005,0.05742114
T2_four_well,Four,A5,A5 over-noise,R_high_E,20,0.3582010605,0.034625916648556694,0.3419956326729805,0.3744064883270195,0.29384463,0.43520777
T2_four_well,Four,A5,A5 over-noise,Ubar,20,0.236330637,0.09120481944758702,0.19364546756360257,0.27901580643639745,0.12477101,0.3416426
T2_four_well,Four,B1,B1 learned,A_swap,20,0.240228046,0.023871440400108242,0.22905586799075509,0.2514002240092449,0.20333533,0.2876084
T2_four_well,Four,B1,B1 learned,R_high_E,20,0.08687452600000001,0.03342007814449782,0.07123344796469587,0.10251560403530414,0.0454225,0.13729016
T2_four_well,Four,B1,B1 learned,Ubar,20,0.640325508,0.017692690051049658,0.6320450741677865,0.6486059418322134,0.6178707,0.67226719
T3_ring,Ring,F0,F0 det.,A_swap,20,0.10094919899999999,0.019221274056978984,0.09195336583158857,0.10994503216841141,0.07422198,0.12443
T3_ring,Ring,F0,F0 det.,R_high_E,20,0.1415044675,0.0761049805808919,0.10588624018783516,0.17712269481216486,0.0535225,0.22913847
T3_ring,Ring,F0,F0 det.,Ubar,20,0.299110371,0.04826557589552729,0.2765213861467397,0.32169935585326026,0.21796575,0.360291
T3_ring,Ring,A2,A2 fixed,A_swap,20,0.1947978465,0.020339511103022657,0.18527866228424772,0.2043170307157523,0.16222897,0.2326408
T3_ring,Ring,A2,A2 fixed,R_high_E,20,0.10378614049999998,0.06262773110925397,0.0744754600994768,0.1330968209005232,0.0187537,0.18220869
