tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt,metric_scope
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,D_E,0.3167338,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,ESS,186.06778,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,ESS_N,0.18606778,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,R_high_E,0.070601471,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,Ubar,0.28470929,normalized_unit,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,Var_w,7.7014384,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,chi2,4.1183694,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,ess_chi2_predicted,0.19537472,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R004,toy_sampling__T1_double_well__deterministic__R004,ess_chi2_relative_error_pct,5.0019118,percent,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,A_swap,0.10464743,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,C_mode,0.49670436,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,D_E,0.28638353,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,ESS,130.83914,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,ESS_N,0.13083914,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,R_high_E,0.062581044,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,Ubar,0.29765527,normalized_unit,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,Var_w,7.6033756,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,chi2,6.3817641,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,ess_chi2_predicted,0.13546897,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R005,toy_sampling__T1_double_well__deterministic__R005,ess_chi2_relative_error_pct,3.5385663,percent,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,A_swap,0.11533876,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,C_mode,0.50392104,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,D_E,0.30261292,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,ESS,126.04886,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,ESS_N,0.12604886,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,R_high_E,0.063335703,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,Ubar,0.29893821,normalized_unit,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,Var_w,8.3159085,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,chi2,6.5437403,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,ess_chi2_predicted,0.13256024,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R006,toy_sampling__T1_double_well__deterministic__R006,ess_chi2_relative_error_pct,5.165757,percent,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,A_swap,0.12223061,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,C_mode,0.48216136,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,D_E,0.27702161,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,ESS,121.51415,samples,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,ESS_N,0.12151415,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,R_high_E,0.073076819,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,Ubar,0.31911087,normalized_unit,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,Var_w,7.8894663,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,chi2,6.985647,dimensionless,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,ess_chi2_predicted,0.12522467,fraction,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
toy_sampling,T1_double_well,deterministic,R007,toy_sampling__T1_double_well__deterministic__R007,ess_chi2_relative_error_pct,3.0535716,percent,configs/experiments/toy_sampling/T1_double_well/deterministic.yaml,,,,,,,tier1_toy_benchmark
