tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt,metric_scope
pf_companion_diagnostic,T1_double_well,girsanov_smc,R005,pf_companion_diagnostic__T1_double_well__girsanov_smc__R005,logq_var,0.050448635,log_density_variance,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R005,pf_companion_diagnostic__T1_double_well__girsanov_smc__R005,logq_var_std,0.019705049,log_density_std,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,girsanov_smc,R005,pf_companion_diagnostic__T1_double_well__girsanov_smc__R005,nll_error,0,nats,configs/experiments/pf_companion_diagnostic/T1_double_well/girsanov_smc.yaml,,,NA,,,,pf_companion_ode_validation_reference
pf_companion_diagnostic,T1_double_well,pnedb,R001,pf_companion_diagnostic__T1_double_well__pnedb__R001,Deltaf_error,0.06324595,reduced_free_energy,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml,,,1,,,,pf_companion_ode_validation
pf_companion_diagnostic,T1_double_well,pnedb,R001,pf_companion_diagnostic__T1_double_well__pnedb__R001,Deltaf_error,0.018228299,reduced_free_energy,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml,,,16,,,,pf_companion_ode_validation
pf_companion_diagnostic,T1_double_well,pnedb,R001,pf_companion_diagnostic__T1_double_well__pnedb__R001,Deltaf_error,0.039666656,reduced_free_energy,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml,,,2,,,,pf_companion_ode_validation
pf_companion_diagnostic,T1_double_well,pnedb,R001,pf_companion_diagnostic__T1_double_well__pnedb__R001,Deltaf_error,0.031334586,reduced_free_energy,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml,,,4,,,,pf_companion_ode_validation
pf_companion_diagnostic,T1_double_well,pnedb,R001,pf_companion_diagnostic__T1_double_well__pnedb__R001,Deltaf_error,0.020842211,reduced_free_energy,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml,,,8,,,,pf_companion_ode_validation
pf_companion_diagnostic,T1_double_well,pnedb,R001,pf_companion_diagnostic__T1_double_well__pnedb__R001,ESS_error,0.096171146,fraction,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml,,,1,,,,pf_companion_ode_validation
pf_companion_diagnostic,T1_double_well,pnedb,R001,pf_companion_diagnostic__T1_double_well__pnedb__R001,ESS_error,0.028853302,fraction,configs/experiments/pf_companion_diagnostic/T1_double_well/pnedb.yaml,,,16,,,,pf_companion_ode_validation
