tier,task,variant,seed,run_id,metric,value,unit,config,checkpoint_id,sigma_value,hutchinson_M,same_chi2_decile_id,is_chi2_opt,is_utility_opt
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.024,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_004,0.024,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.010833,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_004,0.024,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.171443,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_005,0.03,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.157551,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_005,0.03,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.067534,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_005,0.03,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.014641,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_005,0.03,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,8.039949,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_005,0.03,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.03,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_005,0.03,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.01309,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_005,0.03,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.176777,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_006,0.036,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.167146,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_006,0.036,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.069022,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_006,0.036,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.020688,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_006,0.036,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,7.563278,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_006,0.036,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.036,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_006,0.036,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,checkpoint_se_U,0.011217,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_006,0.036,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,U_normalized,0.190328,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_007,0.042,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,C_mode,0.176715,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_007,0.042,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,A_swap,0.072585,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_007,0.042,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,R_high_E,0.01508,fraction,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_007,0.042,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,chi2,7.106647,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_007,0.042,,D10,FALSE,FALSE
chi2_demarcation,T2_four_well,sigma_sweep,R001,chi2_demarcation_dense__T2_four_well__sigma_sweep__R001,sigma_value,0.042,dimensionless,configs/experiments/chi2_demarcation/T2_four_well/sigma_sweep.yaml,dense_007,0.042,,D10,FALSE,FALSE
